1/6/12,ADY*Netflix,8.99
1/3/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
12/31/11,TARGET PURCHASE 2850788,27.32
12/27/11,BKOFAMERICA ATM 11-12 #000009003 WITHDRWL SOUTH BEND INDIANA ID,30
12/26/11,Uber BV help.uber.com,4.06
12/27/11,Mesh on Mass 811202,11.46
12/28/11,Brugge Brasserie 769838,14.87
12/28/11,Uber BV help.uber.com,10.84
12/29/11,Mama Carolla's Old Italian 672567,14.21
12/31/11,WALMART,24.26
1/1/12,Uber BV help.uber.com,5.09
1/2/12,Recess 185748,15.85
1/3/12,Yats 435909,31.42
1/13/12,TARGET PURCHASE 2400538,26.36
1/9/12,Twenty Tap 859244,31.3
1/10/12,Goose the Market 617958,28.49
1/11/12,Siam Square 245396,15.66
1/11/12,Uber BV help.uber.com,8.82
1/13/12,WALMART,11.32
1/14/12,Uber BV help.uber.com,9.42
1/15/12,Uber BV help.uber.com,19.59
1/22/12,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,50
1/19/12,Shapiro's Delicatessen 99910,33.22
1/20/12,Uber BV help.uber.com,17.41
1/21/12,Bluebeard 315685,15.75
1/21/12,NORDSTROM ONLINE,10.66
1/26/12,Siam Square 243922,18.84
1/27/12,Uber BV help.uber.com,7.45
1/28/12,Iaria's Italian Restaurant 653833,19.49
1/28/12,Uber BV help.uber.com,17.91
2/5/12,TARGET PURCHASE 1991097,13.62
2/4/12,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,20
1/30/12,CHEVRON,36.1
1/31/12,Uber BV help.uber.com,19.99
2/2/12,Bazbeaux 948239,21.37
2/6/12,ADY*Netflix,8.99
2/5/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2/5/12,PAYPAL DES:INST XFER ID:85905 INDN:Sara Caplan CO ID:PAYPAL WEB,14.49
2/5/12,TARGET PURCHASE 917892,20.45
2/4/12,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,40
1/30/12,Yats 616683,24.34
2/5/12,TARGET,25.34
2/6/12,Uber BV help.uber.com,18.9
2/7/12,Union 50 155802,33.22
2/8/12,Taste Cafe & Marketplace 346453,25.03
2/12/12,NORDSTROM ONLINE,16
2/17/12,CHEVRON,37.79
2/14/12,Uber BV help.uber.com,8.37
2/16/12,Uber BV help.uber.com,8.37
2/18/12,Iaria's Italian Restaurant 193264,33.24
2/19/12,Uber BV help.uber.com,11.89
2/20/12,WALMART,40.43
2/22/12,St. Elmo Steak House 473147,22.86
2/23/12,Uber BV help.uber.com,7.13
2/26/12,Goose the Market 427766,30
3/6/12,ADY*Netflix,8.99
3/5/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2/27/12,St. Elmo Steak House 17893,25.51
2/28/12,Cafe Patachou 613656,33.98
3/2/12,Mesh on Mass 875201,15.51
3/3/12,The Tamale Place 763285,16.68
3/7/12,Uber BV help.uber.com,21.4
3/8/12,Union 50 515754,22.63
3/10/12,Mug N' Bun 278441,23.7
3/11/12,Uber BV help.uber.com,9.73
3/13/12,Mama Carolla's Old Italian 354893,13.46
3/13/12,Uber BV help.uber.com,20.89
3/14/12,The Loft at Trader's Point Creamery 772920,16.65
3/16/12,The Loft at Trader's Point Creamery 83702,8.36
3/21/12,Shapiro's Delicatessen 256659,33.23
3/23/12,The Tamale Place 808036,8.6
3/24/12,Uber BV help.uber.com,13.12
3/26/12,Shoefly Public House 721611,29.63
3/30/12,Goose the Market 844675,11.82
3/31/12,Uber BV help.uber.com,13.12
4/6/12,ADY*Netflix,8.99
4/9/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
4/9/12,FirstService Res Late Fee DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,25
3/26/12,Uber BV help.uber.com,5.81
3/28/12,Scotty's Brewhouse 311713,20.46
3/29/12,Siam Square 530173,12.55
3/30/12,Sahm's Place 565124,13.75
4/7/12,PAYPAL DES:INST XFER ID:34554 INDN:Sara Caplan CO ID:PAYPAL WEB,68.89
4/7/12,TARGET PURCHASE 373061,17.29
4/2/12,Delicia 597299,17.73
4/3/12,Scotty's Brewhouse 386730,10.72
4/5/12,St. Elmo Steak House 13346,10.09
4/5/12,Uber BV help.uber.com,13.95
4/7/12,Uber BV help.uber.com,13.8
4/15/12,PAYPAL DES:INST XFER ID:66484 INDN:Sara Caplan CO ID:PAYPAL WEB,15.29
4/9/12,Uber BV help.uber.com,21.05
4/10/12,Mug N' Bun 49724,29.68
4/11/12,AMAZON,31.7
4/12/12,Twenty Tap 155504,15.26
4/13/12,Delicia 559548,7.76
4/13/12,Uber BV help.uber.com,14.06
4/15/12,Bluebeard 203964,13.7
4/21/12,BKOFAMERICA ATM 12-04 #000009003 WITHDRWL SOUTH BEND INDIANA ID,10
4/16/12,Mama Carolla's Old Italian 650559,24.17
4/17/12,Yats 774177,14.77
4/19/12,Bluebeard 711005,33.6
4/20/12,The Loft at Trader's Point Creamery 656387,11.9
4/22/12,Uber BV help.uber.com,9.59
4/24/12,TARGET PURCHASE 1549284,21.48
4/23/12,Uber BV help.uber.com,20.05
4/24/12,Twenty Tap 596427,17.35
4/25/12,Recess 723203,30.98
4/25/12,Uber BV help.uber.com,14.02
4/27/12,Bazbeaux 627591,28.84
4/28/12,Mug N' Bun 432480,17.6
4/30/12,Siam Square 992598,23.76
5/1/12,Uber BV help.uber.com,10.51
5/2/12,Union 50 448397,19.74
5/2/12,Uber BV help.uber.com,17.51
5/3/12,Delicia 233161,9.18
5/5/12,Mesh on Mass 844439,15.2
5/5/12,Uber BV help.uber.com,13.3
5/6/12,Uber BV help.uber.com,18.71
5/6/12,ADY*Netflix,8.99
5/9/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
5/9/12,FirstService Res Late Fee DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,25
5/3/12,Uber BV help.uber.com,18.51
5/3/12,TARGET,32.91
5/5/12,WALMART,24.58
5/13/12,BKOFAMERICA ATM 12-05 #000009003 WITHDRWL SOUTH BEND INDIANA ID,50
5/7/12,Taste Cafe & Marketplace 798858,31.46
5/9/12,Mesh on Mass 206127,30.63
5/9/12,AMAZON,20.54
5/10/12,Scotty's Brewhouse 520673,26.43
5/13/12,Mama Carolla's Old Italian 883260,30.52
5/15/12,Uber BV help.uber.com,22.76
5/18/12,The Loft at Trader's Point Creamery 366270,9.61
5/24/12,TARGET PURCHASE 1902002,28.28
5/21/12,Goose the Market 811918,16.29
5/22/12,WALMART,11.29
5/23/12,Uber BV help.uber.com,5.23
5/26/12,Goose the Market 317528,32.9
6/1/12,BKOFAMERICA ATM 12-05 #000009003 WITHDRWL SOUTH BEND INDIANA ID,30
6/1/12,3 Sisters 53119,21.64
6/2/12,Uber BV help.uber.com,21.73
6/6/12,ADY*Netflix,8.99
6/3/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
5/31/12,TARGET PURCHASE 245085,13.32
6/3/12,St. Elmo Steak House 135173,19.23
6/3/12,Uber BV help.uber.com,5.83
6/4/12,Uber BV help.uber.com,10.95
6/5/12,Delicia 344410,21.38
6/5/12,Uber BV help.uber.com,21.85
6/5/12,NORDSTROM ONLINE,20.84
6/10/12,TARGET,9.25
6/13/12,PAYPAL DES:INST XFER ID:66616 INDN:Sara Caplan CO ID:PAYPAL WEB,37.39
6/17/12,TARGET PURCHASE 609958,33.74
6/12/12,Uber BV help.uber.com,8.26
6/13/12,Mug N' Bun 433335,31.99
6/16/12,Shoefly Public House 861798,21.3
6/17/12,Sahm's Place 915480,32.05
6/19/12,CHEVRON,38.06
6/24/12,Scotty's Brewhouse 963507,18.01
6/28/12,EXXON GAS,30.4
6/27/12,Mesh on Mass 370729,19.83
6/30/12,Recess 533960,30.97
6/30/12,Uber BV help.uber.com,13.52
7/6/12,ADY*Netflix,8.99
7/3/12,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
6/25/12,Mama Carolla's Old Italian 437780,19.89
6/27/12,Mug N' Bun 521455,28.48
6/28/12,Recess 315304,13.83
6/30/12,Pizzology 345051,13.81
7/1/12,Uber BV help.uber.com,12.71
7/2/12,TARGET,24.45
7/3/12,NORDSTROM ONLINE,8.84
7/4/12,Taste Cafe & Marketplace 947906,28.07
7/9/12,Bluebeard 158968,17.72
7/10/12,Scotty's Brewhouse 667092,13.26
7/10/12,Uber BV help.uber.com,10.46
7/14/12,Delicia 414632,28.51
7/15/12,Uber BV help.uber.com,19.08
7/21/12,BKOFAMERICA ATM 12-07 #000009003 WITHDRWL SOUTH BEND INDIANA ID,10
7/19/12,Iaria's Italian Restaurant 380723,15.31
7/21/12,Uber BV help.uber.com,7.41
7/22/12,Uber BV help.uber.com,16.33
7/23/12,Uber BV help.uber.com,12.34
